Date,Close,High,Low,Open,Volume
2014-01-02,148.98605346679688,149.9227215578201,148.62767697479447,149.8494082367519,119636900
2014-01-03,148.9616241455078,149.53991576125955,148.7498618614221,149.23854692348766,81390600
2014-01-06,148.52989196777344,149.5072741595234,148.3018365373014,149.45026651594983,108028200
2014-01-07,149.44216918945312,149.6946583363816,149.0104917908799,149.12451954846352,86144200
2014-01-08,149.47471618652344,149.72720526679024,148.96158519882624,149.41769610873922,96582300
2014-01-09,149.5724639892578,149.97156728496907,148.88829756354536,149.95527405728316,90683400
2014-01-10,149.97972106933594,150.04488155780336,149.05934625836082,149.8249664627374,102026400
2014-01-13,147.9842529296875,150.01231908459349,147.69917730057415,149.59693488580302,149892000
2014-01-14,149.59689331054688,149.67834701854042,148.19597404407605,148.47289676630865,105016100
2014-01-15,150.4032745361328,150.6313300567502,149.62951384631714,149.94716349489804,98525800
2014-01-16,150.207763671875,150.40324512049813,149.72721909227923,150.0937359338677,72290600
2014-01-17,149.5724639892578,150.23219678748706,149.31183448673983,149.94713365748586,107848700
2014-01-21,150.01229858398438,150.49285564408228,149.09193617972363,150.4358355548142,88621200
2014-01-22,150.1100616455078,150.32997676928716,149.79241199031276,150.264816272312,61270900
2014-01-23,148.8801727294922,149.37701062855635,148.09013124549864,149.35257699647892,132496900
2014-01-24,145.70362854003906,147.95976177804008,145.65476129189506,147.9108945298961,208677100
2014-01-27,144.98687744140625,146.21676119838594,144.2619842533166,145.8420915781185,180843100
2014-01-28,145.85025024414062,146.03757884772926,145.07647734827188,145.09277057452445,110463200
2014-01-29,144.44935607910156,145.42673854600318,144.06654597845048,144.63668471513537,216597300
2014-01-30,145.9805450439453,146.45294913612955,145.1904914241997,145.65475511806815,118938100
2014-01-31,145.12539672851562,146.02947847488366,144.0991468115957,144.17244771392683,194677900
2014-02-03,141.8592987060547,145.2801440175834,141.58237591474244,144.95435396052127,254837100
2014-02-04,142.85292053222656,143.2194373148863,141.81037783003967,142.49454414808307,165012400
2014-02-05,142.67379760742188,142.99144728811692,141.48465261942295,142.3561479267268,164230500
2014-02-06,144.55523681640625,144.55523681640625,142.71449955584774,143.0077155505298,132877600
2014-02-07,146.34710693359375,146.50186154592444,144.75885880616022,145.23126304397763,170787200
2014-02-10,146.6159210205078,146.66480072031405,145.96434082690462,146.36343183127224,92218800
2014-02-11,148.22042846679688,148.59509817680762,146.6403207635173,146.73806771244207,117814100
2014-02-12,148.29373168945312,148.91273765940124,148.0005157188268,148.44033346072038,94717700
2014-02-13,149.059326171875,149.2140807576196,147.28374970575234,147.29189010517914,100542200
2014-02-14,149.8819580078125,150.15888070999375,148.78239516997107,148.9208565210617,96498400
2014-02-18,150.06114196777344,150.26476378916627,149.5805850239382,150.0122622910438,80460900
2014-02-19,149.0675048828125,150.6394597833955,148.945324301651,149.67021767540817,126524300
2014-02-20,149.94715881347656,150.28924208372263,148.7254275219863,149.2711326741474,104998100
2014-02-21,149.77610778808594,150.59059529847372,149.70280689489337,150.2322188054082,118116400
2014-02-24,150.60687255859375,151.6168290104019,150.02858101917795,150.0937415044707,114063900
2014-02-25,150.54983520507812,151.16070070302698,150.05299743628944,150.72902341205702,117085000
2014-02-26,150.55799865722656,151.16886419828413,150.13446173556108,150.76976090401365,98677200
2014-02-27,151.3480682373047,151.38878266849113,150.16705145867664,150.3380992964114,93880800
2014-02-28,151.7308349609375,152.43129454211928,150.7208786541801,151.3235913074153,150842000
2014-03-03,150.66395568847656,151.04676596377706,149.66213913495088,150.39517321253592,167748500
2014-03-04,152.7815399169922,153.10732988855494,152.10551391931324,152.13808794523322,167545900
2014-03-05,152.92001342773438,153.1806553681685,152.67566471560033,152.9118730276302,88376900
2014-03-06,153.270263671875,153.620499786647,152.94447361784452,153.29470973261652,82516500
2014-03-07,153.33538818359375,153.9055392864851,152.65936217344085,153.9055392864851,114513500
2014-03-10,153.2540283203125,153.31103600403267,152.37437999983484,153.0992736489186,74939200
2014-03-11,152.4964599609375,153.70191016266037,152.14623637303978,153.48199510276507,99009100
2014-03-12,152.53721618652344,152.59423627632802,151.413219472939,151.7553151555808,104824400
2014-03-13,150.8267822265625,153.11550243405972,150.4032576946083,152.9933218579214,155014300
2014-03-14,150.4032745361328,151.33178984953037,150.22408628020577,150.5580291597147,153919600
2014-03-17,151.763427734375,152.12180415289643,151.09554214929588,151.16070262794435,98359500
